comment_id,parent_id,author,comment_text,like_count,published_at
UgwTwrQY-cOwEj6xKWF4AaABAg,,@NASASpaceflight,Did you get your Flight 11 metal print order in? The end of the year is coming which means removing old prints. https://shop.nasaspaceflight.com/collections/metal-prints-posters,10,19 hours ago
UgxN1AaHMiDvgoK51zR4AaABAg,,@LunchRideMTB,If you put a S in Front of it it would Shout! Reminds me of a funny Gallagher video LOL,1,9 minutes ago
Ugy6vIbq92csFpbPBMd4AaABAg,,@thephoenix134,Spaghetti Regretti I hit like.,0,20 minutes ago
UgzGRGsjng3Sd_liQqR4AaABAg,,@DaT0nkee,"Funny to see how it looks like in practice, when you need to learn a language twice - once spoken, then written.",0,35 minutes ago (edited)
Ugz3O-rUx0b54IOSSEZ4AaABAg,,@TheBarzook,"At 14:17, the stability ratio from one ship to the other is pretty low. I can't see that ship landing on a slightly inclined surface or small crater and not potentially tipping over. They must have wider legs planned for that or a very good software to predict exactly where the legs should land.",0,53 minutes ago
Ugwu4yt3ZUl6XdnkOkt4AaABAg,,@prusak26,"If the plan for pad 1 is a flame trench, what changed from a few years back, when they couldn't dig there?",0,1 hour ago
UgxRMx7W3LNPt3tbvjp4AaABAg,,@interpl6089,Here we go. Moving ahead quicker than ever.,0,1 hour ago
UgxGfBErMrSxBh3yNdl4AaABAg,,@VincentGroenewold,"""Tiny tin cans"" is a liiiitle bit unfair to the amazing achievements even doing that back in the day. Let's first see who succeeds to the moon.",0,1 hour ago
UgzPR2FjudiXPKH77554AaABAg,,@WilboBaggins-dm7ub,"Just checking...did Jack say ""Big regrettti""",0,1 hour ago
Ugw2hFOynw-2v1prYlt4AaABAg,,@blp1991,“tiny tin can” is a pretty disappointing - and disrespectful - word choice for the LM.  Didn’t think i’d ever hear something like that on this channel.,0,1 hour ago
UgxBXsQrjmiC-fTViMR4AaABAg,,@Droneshownick,tossed a like for the regretti spaghetti,0,2 hours ago
UgwvRZlJg-g-AeT05-x4AaABAg,,@flyifri,NASA is nothing without space X.,0,2 hours ago
UgwkxISTm7T3eWX8AHt4AaABAg,,@althyk,The hood is very entertaining.,0,2 hours ago
Ugy_Zd2meXfYdlU4VMp4AaABAg,,@AW-xj4un,"Does anyone know of any American that can speak English properly? To float is to be buoyant (boy-ant). If something floats, it has buoyancy (boy-an-see). American's can say these words, but can't seem to get their heads around buoy (boy)...it's not booey.",0,2 hours ago
UgxA7izo2eonHAn6qHx4AaABAg,,@michaelmoak1443,So sn 39 means a full stacks worth of raptor 3’s then?,0,2 hours ago
UgwwgH_Iu3FI4bNQCL14AaABAg,,@MosheMaserati,"""Break apart like spagetti and SpaceX would have big regretti""  Which one of you wrote that one?  LOLOL",0,2 hours ago
UgzHbVDlom0C3VhWj9V4AaABAg,,@aristidisrallis6219,I feel Jack is becoming like the 12 Apostles of the Christ ! Long Live Space Apostle Jack Beyer !,0,3 hours ago
UgxfxjingqUaYwxMF6d4AaABAg,,@GoDodgers1,I have a flea on my butt that I named ELON. He is such a pest. Never happy about where he is.,0,3 hours ago
UgyiM3bjnLqu6X4xhAx4AaABAg,,@chazdawg4340,15:30 omg those propellant transfer nodes look amazing,0,3 hours ago
Ugwk5F4O6S6hY_7ik2x4AaABAg,,@bobby9646,"HAHAHA big regretti 

🤣",0,3 hours ago
Ugz3O-rUx0b54IOSSEZ4AaABAg.AOa9R5TMIrnAOaAbKv7DQw,,@imaginary_friend7300,It all depends on the CG.  Stability ratio?  That's a new one.,0,43 minutes ago
Ugwu4yt3ZUl6XdnkOkt4AaABAg.AOa8Iy9D1CDAOaAVLpKtYi,,@imaginary_friend7300,They couldn't dig there?,0,44 minutes ago
Ugw2hFOynw-2v1prYlt4AaABAg.AOa6MhgujUjAOa7SEMHwxu,,@ale131296,"The Apollo Lunar Module habitable volume is equivalent per person to the habitable volume of the Soyuz descent module and we know how cramped that one is. Yes, it's a tiny tin can in comparison to having 614 cubic meters of available space for two people",0,1 hour ago
UgwvRZlJg-g-AeT05-x4AaABAg.AOa-CNpkAXSAOaAfMznzUq,,@imaginary_friend7300,What silly nonsense.,0,42 minutes ago
Ugy_Zd2meXfYdlU4VMp4AaABAg.AO_xxooobrpAOaAlmX5NTs,,@imaginary_friend7300,"It was booyee, it came from a french or dutch word but as time passed...",0,42 minutes ago
UgzkZX3s7ZLHDVSV-5J4AaABAg,,@sgfx,I want see  launchpad 1 placed on it side  and put  on display at the entrance of Starbase. City,0,3 hours ago
UgxuQrD0U6_ntWNC8lB4AaABAg,,@garyhorner7550,It's probably not possible but if SpaceX were to strap 3 super boosters together and launch a really huge tanker maybe they could reduce a bunch of tanker launches to just a few.,0,4 hours ago
UgyAeu5dKc7d4njyDHt4AaABAg,,@PiDsPagePrototypes,"""Shy away from showing explosions"",... Because mainstream media will see it and call it a failure, without knowing anything about what went on for the whole of the test, just crow on about it blowing up.
If that's why they hover the booster, they need to do the same with the ship, so it's not being 'recovered' before it reaches the bottom.",0,4 hours ago (edited)
UgwLg1IvvxAwWfGnHYt4AaABAg,,@PerryDaigrepont,Excellent job Jack,0,4 hours ago
UgyTvkosjKNCqkBIFIx4AaABAg,,@kjm-ch7jc,The amount of engines hasn't changed ?,0,4 hours ago
Ugw0fzXvtjj1hEopjK54AaABAg,,@michaelhill7045,ON orbit or IN orbit? I prefer IN orbit. 🚀,0,5 hours ago
UgwkQu0glSOwGKYZFPt4AaABAg,,@ZAELish,Im wondering if some of the landers could be buried as a means of radiation protection.,0,5 hours ago
Ugymh8fgBOuDeRipnkV4AaABAg,,@JellyBeanz_88,"If SpaceX is considered ""behind"" on the HLS then Blue Origin is on the opposite side of the universe.",1,5 hours ago
UgzRUHbwyonvxKtMBHF4AaABAg,,@chrisp7652,"You can bet the farm, NASA will throw more support to BO that loves to talk but has not met a deadline yet.",0,5 hours ago
Ugz7tfEGU7CSmzb91Ip4AaABAg,,@StormShadow134,"Big regretti?? 😂  thanks Jack, I just sprayed coffee out of my nose 😂😂😂😂😂😂😂",0,5 hours ago
UgzaRdYLPRTpsEKP_Cx4AaABAg,,@fwd79,"Absolutely loved Jack's energy here, made me excited once again lol so here's something specific for Jack to go get a beer to now chill and watch Pad 1 upgrade, bit by bit. Cheers🍻",1,5 hours ago
UgwJ0XncVJyDg-Qb-CN4AaABAg,,@KEB129,"The Version 3 as the HLS? It is way too high! It will never work. Too high, too low delta V, too heavy, it will tilt! But I will love to be proven wrong. I want them to succeed.",0,5 hours ago (edited)
Ugx47EsS5ouS287VFRp4AaABAg,,@ImaginaryFacepalm,"I can't for the life of me find these slides and the document referenced at 11:42, does anyone know where I can find them?",1,5 hours ago
UgzPX3ij-UDzi-uxSil4AaABAg,,@chazco,1 of 3.7h 👍,0,6 hours ago
Ugy4zapQduukGynYiqt4AaABAg,,@MMM_MADness,"6:10 I was really expecteing an ""Ahh, my hood!"" 😜😆",0,7 hours ago
UgwecY1S5iY6BUp0BBt4AaABAg,,@GerardHammond,I didn't listen to anything Jack  said. I was lost in his beardness,0,7 hours ago
UgzFF1dz3Oo4L7KjGLl4AaABAg,,@richardknapp570,Is there some reason the new Tank Farm pump system could not feed both pads? Seems like duplicating all that would be a lot of extra parts..and would simplify testing.,0,7 hours ago
